# wimp mass gev/c^2, ulmed cm^2, ulm1 cm^2, ulp1 cm^2, ulm2 cm^2, ulp2 cm^2
6.000000000000000000e+00,6.081352763400467960e-45,2.522975570555971828e-45,1.386008304564604438e-44,2.485762495095572699e-45,1.926659717313158011e-44
5.000000000000000000e+01,3.862621814545470465e-48,2.014245555139301664e-48,8.244286766989832941e-48,1.535677857846581760e-48,1.260914056555042884e-47
1.000000000000000000e+03,4.301824749050735262e-47,2.301382487538559664e-47,9.327491663092127505e-47,1.748645975278352479e-47,1.398527375041348948e-46
