# wimp mass gev/c^2, ulmed cm^2, ulm1 cm^2, ulp1 cm^2, ulm2 cm^2, ulp2 cm^2
6.000000000000000000e+00,8.149800646240606950e-45,3.550308767514567944e-45,1.522794490327179680e-44,3.549688091445936483e-45,2.539024224730258123e-44
5.000000000000000000e+01,4.946741179339981520e-48,2.699079569746237314e-48,1.053044239482822306e-47,2.137760007782701065e-48,1.551751365800350856e-47
1.000000000000000000e+03,5.495582287759296776e-47,2.864440125337288218e-47,1.140456650256011289e-46,2.186021043366787123e-47,1.710804831975040195e-46
