# wimp mass gev/c^2, ulmed cm^2, ulm1 cm^2, ulp1 cm^2, ulm2 cm^2, ulp2 cm^2
6.000000000000000000e+00,1.176160350174937738e-44,4.364699116255654081e-45,2.233493131994861277e-44,4.364676954498588069e-45,3.169809222185534762e-44
5.000000000000000000e+01,6.667773645815742835e-48,3.524180574764686541e-48,1.389402543715405042e-47,2.796427876427627219e-48,2.102922477219994593e-47
1.000000000000000000e+03,7.258212296618912831e-47,4.053446326298587667e-47,1.549685078057127562e-46,3.208384412757957219e-47,2.410286082606596651e-46
