# wimp mass gev/c^2, ulmed cm^2, ulm1 cm^2, ulp1 cm^2, ulm2 cm^2, ulp2 cm^2
6.000000000000000000e+00,3.885749096999561590e-45,1.732536084237158058e-45,7.308439441800733952e-45,1.138584763316821049e-45,1.153305278004435091e-44
5.000000000000000000e+01,2.111669767037089349e-48,1.017619773668635686e-48,4.180209104934807894e-48,7.271825689717683140e-49,6.310299973845407905e-48
1.000000000000000000e+03,2.398940210974853417e-47,1.162068669977297499e-47,4.803704150134263531e-47,8.129093646689031930e-48,7.308642001063793608e-47
