2.999291201752711522e-02,6.251306513326933359e-28,6.251306513326933359e-28
3.106010734446858559e-02,1.797026668986360572e-28,2.430685717788050300e-27
3.216527517188550594e-02,1.141336102408230414e-28,3.207431378341920764e-27
3.330976662150410272e-02,7.294941636232818284e-29,3.834799153082117325e-27
3.449498089010218788e-02,5.076025576625584894e-29,4.460113636988702771e-27
3.572236696009564727e-02,3.313172065984695138e-29,4.981754667692962790e-27
3.699342537099034600e-02,2.469791688243868292e-29,5.306459924598100938e-27
3.830971005386502037e-02,2.054843065541127975e-29,5.771982232237675050e-27
3.967283023112809504e-02,1.292584296893395672e-29,6.294574540655090134e-27
4.108445238387073428e-02,9.498320408606612659e-30,6.570558816570647831e-27
4.254630228922148816e-02,7.489108473012825775e-30,6.831039087556065828e-27
4.406016713019333259e-02,5.255364565289316619e-30,7.037653618094811530e-27
4.562789768060220019e-02,4.136517231068866067e-30,7.325692953026558220e-27
4.725141056772855230e-02,3.669142056042571558e-30,7.582198641895486937e-27
4.893269061548799481e-02,2.299027316148913029e-30,7.734069937599178318e-27
5.067379327097555619e-02,1.793291423523110311e-30,7.843662636281828302e-27
5.247684711735035867e-02,1.437215022760495978e-30,7.897148862123163839e-27
5.434405647613257256e-02,1.028439240502969513e-30,7.977557739644693431e-27
5.627770410209435165e-02,8.118519247760229426e-31,8.093916874544282321e-27
5.828015397403919079e-02,6.111696605083245349e-31,8.177506867696667973e-27
6.035385418488160153e-02,4.830788937187257905e-31,8.205461079143540846e-27
6.250133993456050141e-02,3.637773285069324711e-31,8.199453885700906882e-27
6.472523662944509870e-02,2.800823346955454270e-31,8.192455503535486004e-27
6.702826309202263022e-02,2.330886250027181473e-31,8.191219971363317001e-27
6.941323488479179959e-02,1.712434526044489472e-31,8.089731392732496136e-27
7.188306775242571389e-02,1.368102393345565117e-31,8.015557749461196080e-27
7.444078118641225816e-02,1.171702953882609762e-31,8.015557749461196080e-27
7.708950211653024798e-02,8.764884872390596178e-32,8.015557749461196080e-27
7.983246873367397245e-02,6.821766077959359615e-32,7.991837586279128879e-27
8.267303444869993079e-02,5.457884390844707982e-32,7.876854960983917811e-27
8.561467199213571022e-02,4.774996046114175563e-32,7.789454581599864219e-27
8.866097765976280187e-02,3.881598157808033055e-32,7.695032883904563658e-27
9.181567570926424393e-02,3.487924688788982275e-32,7.575142876739519343e-27
9.508262291331164018e-02,2.814156617882486684e-32,7.470917748424610387e-27
9.846581327465857292e-02,2.116414811571648868e-32,7.372272044806116969e-27
1.019693829090041332e-01,1.507933693252448092e-32,7.211763416133293262e-27
1.055976151015969033e-01,1.183979983762653814e-32,7.041702678603145646e-27
1.093549455437604623e-01,8.795723496426890028e-33,6.953411870270721469e-27
1.132459677557431099e-01,6.124897145061727126e-33,6.831985140245634880e-27
1.172754387025210787e-01,4.458579660923212486e-33,6.702482295438066723e-27
1.214482846094207813e-01,3.456964606157610704e-33,6.573481498614302880e-27
1.257696069846703513e-01,2.480516218222918039e-33,6.440073855299108457e-27
1.302446888562428795e-01,1.962655691809330833e-33,6.301685441176894786e-27
1.348790012306165798e-01,1.671914210150457881e-33,6.172126509836363848e-27
1.396782097813478452e-01,1.180435816620729925e-33,6.044477429920074925e-27
1.446481817756342103e-01,9.660001670896771809e-34,5.883871256922870912e-27
1.497949932473355283e-01,7.928491071721010784e-34,5.745729397261152771e-27
1.551249364252225704e-01,6.605222772015861081e-34,5.621696296176997280e-27
