4.000000000000000000e+00 1.795272498815197807e-44 3.776649677635380235e-44 7.815593326870141193e-44 1.311562001411315815e-43 1.844838642523786718e-43
5.000000000000000000e+00 1.248198325329183022e-45 2.418990212861266391e-45 4.836884372611379275e-45 8.169429812480270784e-45 1.188365443645510272e-44
6.000000000000000000e+00 2.313464721500514807e-46 4.681067212084544040e-46 9.829686865217013426e-46 1.590035497762001314e-45 2.221827837524727678e-45
7.000000000000000000e+00 7.334756075726340046e-47 1.345048990041788804e-46 2.812405918225847117e-46 4.835328941351890773e-46 6.731270541959579362e-46
8.000000000000000000e+00 2.457528160055299990e-47 5.345756107367418028e-47 1.057805316893610560e-46 1.850100575850085523e-46 2.635187693469638997e-46
1.000000000000000000e+01 6.103052676601336574e-48 1.219542837595271559e-47 2.723808487744520695e-47 4.595261278207393206e-47 7.014367673379454227e-47
1.500000000000000000e+01 1.063161973054814792e-48 2.318326949139422150e-48 4.857480686025535482e-48 8.582267328361023724e-48 1.252372938936254216e-47
2.000000000000000000e+01 5.940630780307605675e-49 1.107662320103210550e-48 2.332803966439826925e-48 4.308130341744534898e-48 6.065942779394010835e-48
3.000000000000000000e+01 3.489572570760546642e-49 7.962980199082818551e-49 1.509015918568386237e-48 2.581005498550593160e-48 3.910027937480615802e-48
4.000000000000000000e+01 3.561740608510713712e-49 6.092636546338199888e-49 1.350156307416763438e-48 2.349124056621928066e-48 3.609020370209023888e-48
5.000000000000000000e+01 2.866109419187897355e-49 6.246079278862720491e-49 1.326379492673116245e-48 2.334512163857619197e-48 3.584378996126633522e-48
7.000000000000000000e+01 3.977388156685986098e-49 6.864107086879416542e-49 1.467133830816818424e-48 2.734297437235365032e-48 4.212640895135791648e-48
1.000000000000000000e+02 4.681480264375058794e-49 9.878711899789476274e-49 2.044002431386211633e-48 3.452756599650413924e-48 4.875512950461159848e-48
2.000000000000000000e+02 8.307496995433452494e-49 1.547164502775303717e-48 3.183165927244889952e-48 5.864186480724776182e-48 8.705925044055227295e-48
3.000000000000000000e+02 1.170547299225962359e-48 2.474567540445526979e-48 4.739270756255034545e-48 8.614124982774457918e-48 1.270621478791728380e-47
4.000000000000000000e+02 1.502024782954920169e-48 3.005420993661097845e-48 6.404213294627876254e-48 1.130462625952880527e-47 1.704288075776115139e-47
1.000000000000000000e+03 3.576003651979975659e-48 7.171377479998254555e-48 1.561798276729168461e-47 2.785164425004918390e-47 4.062362297719172761e-47
