1.00e+01  5.75e-39
1.12e+01  1.05e-39
1.26e+01  1.50e-40
1.41e+01  2.67e-41
1.58e+01  6.08e-42
1.78e+01  1.84e-42
2.00e+01  7.34e-43
2.24e+01  3.41e-43
2.51e+01  1.86e-43
2.82e+01  1.13e-43
3.16e+01  7.63e-44
3.55e+01  5.54e-44
3.98e+01  4.26e-44
4.47e+01  3.46e-44
5.01e+01  2.93e-44
5.62e+01  2.58e-44
6.31e+01  2.35e-44
7.08e+01  2.18e-44
7.94e+01  2.09e-44
8.91e+01  2.03e-44
1.00e+02  2.01e-44
1.12e+02  2.03e-44
1.26e+02  2.07e-44
1.41e+02  2.14e-44
1.58e+02  2.22e-44
1.78e+02  2.34e-44
2.00e+02  2.47e-44
2.24e+02  2.64e-44
2.51e+02  2.83e-44
2.82e+02  3.05e-44
3.16e+02  3.31e-44
3.55e+02  3.60e-44
3.98e+02  3.93e-44
4.47e+02  4.31e-44
5.01e+02  4.73e-44
5.62e+02  5.20e-44
6.31e+02  5.72e-44
7.08e+02  6.32e-44
7.94e+02  7.03e-44
8.91e+02  7.81e-44
1.00e+03  8.64e-44
1.12e+03  9.63e-44
1.26e+03  1.07e-43
1.41e+03  1.19e-43
1.58e+03  1.33e-43
1.78e+03  1.48e-43
2.00e+03  1.65e-43
2.24e+03  1.85e-43
2.51e+03  2.06e-43
2.82e+03  2.31e-43
3.16e+03  2.59e-43
3.55e+03  2.87e-43
3.98e+03  3.23e-43
4.47e+03  3.63e-43
5.01e+03  4.05e-43
5.62e+03  4.58e-43
6.31e+03  5.06e-43
7.08e+03  5.71e-43
7.94e+03  6.35e-43
8.91e+03  7.15e-43
1.00e+04  8.02e-43
1.12e+04  9.02e-43
1.26e+04  9.97e-43
1.41e+04  1.13e-42
1.58e+04  1.27e-42
1.78e+04  1.42e-42
2.00e+04  1.59e-42
2.24e+04  1.78e-42
2.51e+04  2.00e-42
2.82e+04  2.26e-42
3.16e+04  2.52e-42
3.55e+04  2.82e-42
3.98e+04  3.22e-42
4.47e+04  3.56e-42
5.01e+04  4.01e-42
5.62e+04  4.41e-42
6.31e+04  5.03e-42
7.08e+04  5.71e-42
7.94e+04  6.27e-42
8.91e+04  6.96e-42
