# PandaX 2025 S2-only NR heavy mediator
# 2507.11930, figure 3, blue line, curve trace by Jelle
# wimp_mass,upper_limit
2.0082763709102496, 7.583155517997559e-42
2.1704170106245915, 2.955242999590496e-42
2.406500952377684, 8.938584118553956e-43
2.6060746325929918, 3.888445163872272e-43
2.7438378717997907, 2.3510801382937654e-43
2.8593083748441073, 1.6045437391867795e-43
3.004141002927095, 1.0584852887086424e-43
3.1317479464390603, 7.646482571398713e-44
3.2269416524677643, 6.164233789215629e-44
3.317068306905009, 5.122070641491084e-44
3.4264308579602982, 4.1924416277416127e-44
3.5459153421113276, 3.444697849976166e-44
3.662357304467542, 2.917345638945477e-44
3.794997652859353, 2.4429749814753986e-44
3.919533439077257, 2.116599056718821e-44
4.081527321857966, 1.7928992591675203e-44
4.245542870885395, 1.5418984174064195e-44
4.4844717494885105, 1.2868563350674707e-44
4.678852381915679, 1.1237317129396498e-44
4.867159424952915, 9.812608489947065e-45
5.54748949078556, 6.175650776961184e-45
5.987882708441655, 4.55235777563757e-45
