,mass,cross_section
0,5.042227455973821,2.3197891080219065e-45
1,5.62476010036721,7.363929711978714e-46
2,6.274593215583654,2.4473964116174732e-46
3,6.882754670326543,1.0232147155674932e-46
4,8.4221035220345,2.355553775260737e-47
5,9.71654487888247,9.84816875074371e-48
6,11.20993634622654,4.117351459420174e-48
7,11.889679462098254,2.6018508190568133e-48
8,14.548842152592393,1.1388811511988471e-48
9,18.10471008345715,5.9897491955980854e-49
10,22.52966413190684,3.962840971848407e-49
11,28.511674032641075,2.873900717412948e-49
12,37.949432727117376,2.621830740375804e-49
13,46.82912062426803,2.621830740375804e-49
14,60.77728392601666,2.744973815121256e-49
15,78.87994034868521,3.298165353831368e-49
16,104.99029226956182,3.785062801684291e-49
17,144.52448489145493,4.985106244585536e-49
18,221.9296288984141,7.196856730011557e-49
19,313.303219776518,9.923794007708801e-49
20,424.08438949488544,1.307010479609374e-48
21,550.398918564467,1.7213944510352898e-48
22,991.6252377857737,2.985953611847721e-48
