es,lower,median,upper
0.125,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.625,0.0,0.0,0.0
0.875,0.0,0.0,0.0
1.125,9.697508043670549e-05,0.0001484721082180912,0.0002188459103118597
1.375,0.0004720083560788954,0.0006034723290961692,0.0007466344399881224
1.625,0.001516628226453032,0.0018557437408967216,0.0023768757436956724
1.875,0.0038233944646447323,0.004714276899018971,0.005511228993493392
2.125,0.008266580799199778,0.00974559555388059,0.011479461347018558
2.375,0.015562272646406347,0.017900020448986552,0.020830267677653357
2.625,0.026155087551572347,0.02977452810264146,0.034104046859184306
2.875,0.040359368610504334,0.045147395065270754,0.05304515773127505
3.125,0.05748205636479894,0.06514317549463056,0.074632067129438
3.375,0.07964799460743881,0.08824025235002647,0.1009874900783074
3.625,0.10413278497365525,0.11625370280654738,0.12918045212961124
3.875,0.13160940233671878,0.14447091389341904,0.16314622028654646
4.125,0.16441481886693723,0.177809346069527,0.19790378608907944
4.375,0.1972739297715378,0.2149332801432595,0.23712408361785411
4.625,0.23202228524382934,0.25118796371314867,0.27293413229867725
4.875,0.2672082757775746,0.2876644407163096,0.31354201916080077
5.25,0.32164014602658486,0.34366840153182304,0.37106804060385445
5.75,0.39123953030961073,0.41654916961214816,0.4425100687039339
6.25,0.4595777690902263,0.48131570891458786,0.5083286360393976
6.75,0.5157976509176214,0.5383564593052443,0.5663806714324483
7.25,0.568022932560652,0.5892667847748063,0.6177196116582202
7.75,0.6113734966090474,0.632233226137105,0.659249294923032
8.25,0.6467117706137162,0.6695420283555379,0.6942339166386404
8.75,0.6789658743904797,0.6988926193694052,0.7233716558219494
9.25,0.7055221234287032,0.7256158917552893,0.7479737868563477
9.75,0.7275782604301235,0.7463205141512876,0.7677969645488776
10.5,0.7507709323849526,0.7691328476483124,0.7892776663282844
11.5,0.7735285908185269,0.793472245262177,0.8111280467060095
12.5,0.789611638656262,0.8102864915707146,0.8273829460726252
13.5,0.8015676907207872,0.8217327704003929,0.8391882023100056
14.5,0.8110998031495968,0.8317585806849814,0.8490847447612289
15.5,0.8184148654284744,0.8390220180771006,0.8566031819994139
16.5,0.8256079476649241,0.8460350980048985,0.8636439896131072
17.5,0.8306269317140216,0.8508982734245534,0.8690262622830902
18.5,0.8351762167501788,0.8548503082360703,0.8728538924076337
19.5,0.837675100757217,0.8574845714140027,0.8755922756270604
20.5,0.8391131291311456,0.8597140789508766,0.8778965628598426
21.5,0.8405243436265578,0.8613702148951212,0.8789119816994028
22.5,0.8414427322468476,0.8624169556945528,0.8795022511188273
23.5,0.8420156260846688,0.8628960042952812,0.8795866202110545
24.5,0.8422950232379774,0.8632723252053289,0.8797737180554244
25.5,0.8424086591422266,0.8632604739525076,0.8797827002204132
26.5,0.8424235642803144,0.8631043972813663,0.8796355268364545
27.5,0.8422860806270944,0.8627042061445279,0.8790791497247064
28.5,0.8418223310773176,0.8622114051480787,0.8785558815250382
29.5,0.840767672021358,0.8612630497902916,0.8773826631829647
30.5,0.8395425124938365,0.8599291481507243,0.875422001766792
31.5,0.8375453517969296,0.8575992211092962,0.8726474247585865
32.5,0.8335666115711386,0.8526991697349435,0.8690018568270552
33.5,0.8273503690362731,0.8471685073975277,0.8640648950935148
34.5,0.8178608136139232,0.8372518297127236,0.8569708156073848
35.5,0.8000137065821098,0.8249647596774954,0.8487628236154455
36.5,0.7762559434418317,0.8063473720434617,0.8401588906250093
37.5,0.7413511160825275,0.7844253917047308,0.8243235771726198
38.5,0.698923763425251,0.7535307453805615,0.8010688074210593
39.5,0.6432547493089225,0.7203503119754193,0.7781785373949274
40.5,0.5829710247728491,0.6780951331772266,0.7415497178745479
41.5,0.5123650294162018,0.6257066950979375,0.7053750174586838
42.5,0.45089673415040654,0.567714660179659,0.6673471165176252
43.5,0.38097917713646495,0.5050172578441308,0.6185447182376573
44.5,0.32734472086041555,0.44202287705616794,0.5574959263867326
45.5,0.2593544171404964,0.38343001181971315,0.505209723650393
46.5,0.2113759171536816,0.3237910917658769,0.44825058872600265
47.5,0.1636732030283428,0.2703286479576513,0.3843472020250376
48.5,0.1290525651538014,0.21939117201178826,0.3362368682511414
49.5,0.09681528697199063,0.1746208534120805,0.28439773861607304
50.5,0.06886852418897459,0.13744170967165087,0.23114593510758202
51.5,0.04996214889489751,0.10618063401670769,0.18800338128234662
52.5,0.0348941295490654,0.08207313043005934,0.15080757075428552
53.5,0.026305941416440617,0.059953987641485955,0.11589797109322869
54.5,0.017760196635439197,0.04334930813420647,0.0948769986231863
55.5,0.011373869692198387,0.03222562911162927,0.06924982256498881
56.5,0.008504804257551733,0.022691718737010112,0.0553684688739251
57.5,0.004785953924045223,0.01753016895955847,0.04169937103335851
58.5,0.00426083342173431,0.011524985369950566,0.029548261339411873
59.5,0.0022121758860167238,0.008908703623069966,0.022316967057040994
60.5,0.0008640130967470885,0.00474767276196071,0.014288953598958987
61.5,0.0006520335368227543,0.0037458486915202286,0.013927293580994565
62.5,0.0,0.0024995368740712075,0.008414390637189236
63.5,0.0,0.0011934764970575435,0.005942539695865519
64.5,0.0,0.001225949134586507,0.004869183351429564
65.5,0.0,0.0,0.004118660726802431
66.5,0.0,0.0,0.0016715258173561646
67.5,0.0,0.0,0.0018132598663379582
68.5,0.0,0.0,0.0020394947556396834
69.5,0.0,0.0,0.002091102888962402
70.5,0.0,0.0,0.0
71.5,0.0,0.0,0.0
72.5,0.0,0.0,0.0
73.5,0.0,0.0,0.0
74.5,0.0,0.0,0.0
75.5,0.0,0.0,0.0
76.5,0.0,0.0,0.0
77.5,0.0,0.0,0.0
78.5,0.0,0.0,0.0
79.5,0.0,0.0,0.0
80.5,0.0,0.0,0.0
81.5,0.0,0.0,0.0
82.5,0.0,0.0,0.0
83.5,0.0,0.0,0.0
84.5,0.0,0.0,0.0
85.5,0.0,0.0,0.0
86.5,0.0,0.0,0.0
87.5,0.0,0.0,0.0
88.5,0.0,0.0,0.0
89.5,0.0,0.0,0.0
90.5,0.0,0.0,0.0
91.5,0.0,0.0,0.0
92.5,0.0,0.0,0.0
93.5,0.0,0.0,0.0
94.5,0.0,0.0,0.0
95.5,0.0,0.0,0.0
96.5,0.0,0.0,0.0
97.5,0.0,0.0,0.0
98.5,0.0,0.0,0.0
99.5,0.0,0.0,0.0
