,mass,cross_section
0,3.0,1.21352e-42
1,4.0,4.4875e-44
2,5.5,2.5175099999999996e-45
3,6.0,1.1045299999999998e-45
4,9.0,4.69717e-47
5,13.0,7.09196e-48
6,18.0,2.86729e-48
7,25.0,1.73625e-48
8,40.0,1.46793e-48
9,50.0,1.48418e-48
10,70.0,1.7202799999999998e-48
11,98.0,2.1943e-48
12,269.0,4.9670299999999994e-48
13,525.0,8.8312e-48
14,2000.0,3.4832899999999996e-47
