,mass,cross_section
0,7.01,1.97744e-44
1,8.01,2.56795e-45
2,11.55,2.95967e-46
3,15.01,2.57866e-46
4,20.01,2.40457e-46
5,30.01,2.26243e-46
6,39.81,2.38471e-46
7,100.01,4.35321e-46
8,400.01,1.56345e-45
9,1000.01,3.95397e-45
10,3200.01,1.2589e-44
11,10000,3.9733e-44
