3	, 2.11E-42
3.5	, 2.52E-43
4	, 4.58E-44
4.5	, 1.35E-44
5	, 4.61E-45
5.5	, 1.88E-45
6	, 9.36E-46
6.5	, 5.74E-46
7	, 3.57E-46
7.5	, 2.41E-46
8	, 1.79E-46
8.5	, 1.37E-46
9	, 1.11E-46
