6.000000000000000000e+00,1.359680000000000073e-40
7.000000000000000000e+00,3.882459999999999905e-42
8.000000000000000000e+00,6.395390000000000113e-43
9.000000000000000000e+00,1.934430000000000100e-43
1.000000000000000000e+01,7.933750000000000436e-44
1.100000000000000000e+01,3.903689999999999907e-44
1.200000000000000000e+01,2.418249999999999979e-44
1.500000000000000000e+01,7.103120000000000619e-45
2.000000000000000000e+01,2.654049999999999912e-45
3.000000000000000000e+01,1.335009999999999933e-45
5.000000000000000000e+01,1.091450000000000040e-45
1.000000000000000000e+02,1.548129999999999928e-45
2.000000000000000000e+02,2.725380000000000052e-45
5.000000000000000000e+02,6.390179999999999702e-45
1.000000000000000000e+03,1.285929999999999897e-44
1.000000000000000000e+04,1.285930000000000096e-43
