,mass,cross_section
0,3.0,2.00192e-37
1,4.0,6.03939e-39
2,6.0,1.7248099999999998e-40
3,9.0,7.15605e-42
4,13.0,1.16302e-42
5,18.0,4.340299999999999e-43
6,25.0,2.81133e-43
7,40.0,2.2732099999999997e-43
8,50.0,2.37601e-43
9,70.0,2.7750500000000002e-43
10,98.0,3.46731e-43
11,525.0,1.55682e-42
12,2000.0,5.84631e-42
