,mass,cross_section
0,5,5.78456e-45
1,6,3.3497e-45
2,7,1.74859e-45
3,8,9.70013e-46
4,10,3.69042e-46
5,15,9.69432e-47
6,20,4.97913e-47
7,25,3.33812e-47
8,30,3.25675e-47
9,40,3.30469e-47
10,60,3.60506e-47
11,80,4.33214e-47
12,100,5.31039e-47
13,400,1.72204e-46
14,1000,4.28051e-46
15,10000,4.31102e-45
