# Darkside 50 12-ton-day low-mass no quenching result
# Curve trace by Jelle, 2207.11966v3 figure 12, topmost line
# wimp_mass,upper_limit
1.20016,5.78553e-40
1.23855,3.01409e-40
1.40030,5.29733e-41
1.61160,1.21044e-41
1.79919,5.07550e-42
2.01704,2.39902e-42
2.37297,1.03696e-42
2.95738,3.90962e-43
3.42130,2.38221e-43
3.99968,1.56945e-43
4.46036,1.28919e-43
5.02647,1.14906e-43
5.47758,1.10703e-43
6.10198,1.12104e-43
6.96339,1.20512e-43
8.08073,1.42932e-43
10.3807,2.00386e-43
