# Wimp mass [GeV], UL 90pct,-2th sigma sensitivity,-1th sigma sensitivity,0th sigma sensitivity,1th sigma sensitivity,2th sigma sensitivity
3.000000000000000000e+00,3.172251408861545145e-42,1.240010737256762926e-42,2.765065914973227720e-42,6.228694761331663450e-42,1.397959996857683391e-41,3.725769167781182430e-41
4.000000000000000000e+00,1.057906747211770586e-43,4.170006233596290248e-44,9.763123152696789625e-44,2.275301326004327496e-43,5.403614176768667800e-43,1.445382093605804295e-42
5.000000000000000000e+00,1.424948146389667209e-44,6.334862778265115331e-45,1.362893513432475455e-44,3.365606111242791353e-44,7.951232306923035145e-44,2.118129826332862509e-43
6.000000000000000000e+00,3.852445530458917351e-45,1.951262624611005821e-45,3.988114594838585514e-45,9.427457930044027306e-45,2.174418073720722778e-44,5.212748475608505561e-44
1.000000000000000000e+01,4.364062257839269293e-46,2.161381498243360844e-46,4.592431717688936515e-46,9.747252998908796922e-46,1.894892478223282873e-45,3.916881108645377172e-45
1.200000000000000000e+01,2.764850194067320673e-46,1.533581871403269287e-46,2.989295409368298852e-46,6.872411505998092949e-46,1.317702564890232694e-45,2.589580306186976978e-45
