#mass, limit 
2.0365894907868984, 6.031098351882649e-42
2.0665367504571632, 5.143230186150235e-42
2.0927055869428752, 4.4556233843330194e-42
2.1152667922159445, 3.9014230980617246e-42
2.1598769617074702, 2.9968832921222576e-42
2.1844569993722533, 2.6382457927562863e-42
2.2070182046453235, 2.3335163462441244e-42
2.2294814814814816, 2.043383256789934e-42
2.2543628374136846, 1.794257398791298e-42
2.279570849740341, 1.5823087046969752e-42
2.3038900452638185, 1.3823908969042757e-42
2.3336967654541256, 1.2254556301079316e-42
2.364261142498431, 1.076562683709962e-42
2.3944758317639674, 1.0122824206084378e-42
2.3976396735718772, 8.984705617376515e-43
2.4255559248181386, 8.19305861316624e-43
2.45342320018502, 7.176291794590608e-43
2.516735718769617, 5.266376018079537e-43
2.5497474527983, 4.631370420688987e-43
2.5741117388575017, 4.2268840924675375e-43
2.6051349654739484, 4.043896205078194e-43
2.610935342121783, 3.5902000122739724e-43
2.636905210295041, 3.530529384837176e-43
2.6489391086001257, 3.125323051929949e-43
2.6758600125549274, 2.836418693765743e-43
2.7058882611424986, 2.570696743862077e-43
2.7407583176396737, 2.3065882098484093e-43
2.7689596530274496, 2.153250749654082e-43
2.813076440195084, 1.8964941148424397e-43
2.85368487131199, 1.6531226819829011e-43
2.8979786566227244, 1.4427120561112558e-43
2.9422724419334587, 1.2670682249985336e-43
2.9870877396301125, 1.1221922758703962e-43
3.027696170747018, 9.985648421572301e-44
3.071989956057753, 8.896523678460942e-44
3.086905210295041, 8.101828594668837e-44
3.116029504080352, 7.899923419884809e-44
3.13778091650973, 7.23873556438293e-44
3.1666509730069055, 7.007575678140274e-44
3.1884023854362837, 6.430552749619651e-44
3.217272441933459, 6.243595310687346e-44
3.2390238543628374, 5.759139882183286e-44
3.2678939108600127, 5.612363127563928e-44
3.2896453232893914, 5.184529166642609e-44
3.3185153797865663, 5.059855747154782e-44
3.340266792215945, 4.684494267847066e-44
3.36913684871312, 4.595511934556098e-44
3.3908882611424986, 4.2624502397390617e-44
3.4197583176396735, 4.1861136692872854e-44
3.4415097300690523, 3.8999449304837454e-44
3.470885122410546, 3.805694287076309e-44
3.4979535467671066, 3.572365875692778e-44
3.527834274952919, 3.4650958648005814e-44
3.5549026993094794, 3.2569176645355044e-44
3.585820464532329, 3.1551868609526233e-44
3.6171424984306344, 2.9752680712053365e-44
3.6492027620841183, 2.8277699029048196e-44
3.685323289391086, 2.673372498805739e-44
3.720125549278092, 2.5473688486415185e-44
3.7549278091650975, 2.4325181325674646e-44
3.789730069052103, 2.329084300693497e-44
3.824532328939109, 2.2432467209802974e-44
3.8593345888261146, 2.1909183567716874e-44
3.8941368487131203, 2.0932611858619314e-44
3.9289391086001255, 2.032403159256319e-44
3.963741368487131, 1.9564498548280308e-44
3.998543628374137, 1.8899134275615084e-44
4.033345888261143, 1.8256398214669512e-44
4.067394852479598, 1.7656932397002984e-44
4.097809165097301, 1.6952571830454206e-44
4.133358443188952, 1.6420630570994858e-44
4.170814814814815, 1.5814652774582385e-44
4.204193345888261, 1.541801100449269e-44
4.238995605775267, 1.4794127874828937e-44
4.273797865662273, 1.4573575046249647e-44
4.308863779033271, 1.4261640721481873e-44
4.345592737457144, 1.3775956829618398e-44
4.37820464532329, 1.3360550261038773e-44
4.413006905210295, 1.3055889673454036e-44
4.447809165097301, 1.2710357945425222e-44
4.482611424984307, 1.2377290320000973e-44
4.517413684871312, 1.2056183828410172e-44
4.552215944758318, 1.174970921341174e-44
4.587018204645323, 1.147254538128033e-44
4.6218204645323295, 1.1183906522897971e-44
4.656622724419335, 1.0920089407615685e-44
4.691424984306341, 1.0645349841521615e-44
4.726227244193346, 1.0385876243346862e-44
4.761029504080351, 1.0143604223241318e-44
4.7958317639673576, 9.899015121558453e-45
4.830634023854363, 9.675882836399017e-45
4.863438067862689, 9.570599912854048e-45
4.900238543628374, 9.467932690696634e-45
4.93504080351538, 9.075075171784928e-45
4.969843063402386, 8.605692511933142e-45
5.012950408035154, 8.587822328696021e-45
5.2261142498430635, 7.734353843409126e-45
5.26091650973007, 7.354014794505939e-45
5.295718769617075, 7.033762068827679e-45
5.328939108600125, 6.835498140452906e-45
5.612102950408035, 6.030095511769214e-45
5.6817074701820465, 5.669336086843594e-45
5.716509730069053, 5.537087110037547e-45
5.751311989956058, 5.3674607238850037e-45
5.786867545511614, 5.024092504584775e-45
5.820916509730069, 4.887817095991553e-45
5.855718769617075, 4.77379866422843e-45
5.890521029504081, 4.658689763959706e-45
5.925323289391087, 4.551236774190531e-45
5.957664783427496, 4.5053528900295645e-45
5.98227244193346, 4.56631746446561e-45
